address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x004023E0,26,0x004023F9,FUN_004023e0,,,unclassified,0.00,unknown,undefined FUN_004023e0(void),false,,,,
0x00402400,49,0x0040243B,FUN_00402400,,,unclassified,0.00,unknown,undefined FUN_00402400(void),false,,,,
0x00402450,96,0x004024B5,FUN_00402450,,,unclassified,0.00,unknown,undefined FUN_00402450(void),false,,,,
0x004024C0,122,0x00402539,FUN_004024c0,,,unclassified,0.00,unknown,undefined FUN_004024c0(void),false,,,,
0x0040253A,34,0x0040255B,Catch_All@0040253a,,,unclassified,0.00,unknown,undefined Catch_All@0040253a(void),false,,,,
0x00402562,102,0x004025CA,FUN_00402562,,,unclassified,0.00,unknown,undefined FUN_00402562(void),false,,,,
0x004025CB,45,0x004025FA,Catch_All@004025cb,,,unclassified,0.00,unknown,undefined Catch_All@004025cb(void),false,,,,
0x00402620,85,0x00402674,FUN_00402620,,,unclassified,0.00,unknown,undefined FUN_00402620(void),false,,,,
0x00402680,364,0x004027EB,FUN_00402680,,,unclassified,0.00,unknown,undefined FUN_00402680(void),false,,,,
0x004027F0,167,0x00402896,FUN_004027f0,,,unclassified,0.00,unknown,undefined FUN_004027f0(void),false,,,,
0x004028A0,33,0x004028C0,FUN_004028a0,,,unclassified,0.00,unknown,undefined FUN_004028a0(void),false,,,,
0x004028D0,83,0x00402922,FUN_004028d0,,,unclassified,0.00,unknown,undefined FUN_004028d0(void),false,,,,
0x00402950,110,0x004029BD,FUN_00402950,,,unclassified,0.00,unknown,undefined FUN_00402950(void),false,,,,
0x004029C0,95,0x00402A1E,FUN_004029c0,,,unclassified,0.00,unknown,undefined FUN_004029c0(void),false,,,,
0x00402A20,46,0x00402A4D,FUN_00402a20,,,unclassified,0.00,unknown,undefined FUN_00402a20(void),false,,,,
0x00402A50,87,0x00402AAD,FUN_00402a50,,,unclassified,0.00,unknown,undefined FUN_00402a50(void),false,,,,
0x00402AB0,347,0x00402C0D,FUN_00402ab0,,,unclassified,0.00,unknown,undefined FUN_00402ab0(void),false,,,,
0x00402C10,51,0x00402C42,FUN_00402c10,,,unclassified,0.00,unknown,undefined FUN_00402c10(void),false,,,,
0x00402C50,165,0x00402CF4,FUN_00402c50,,,unclassified,0.00,unknown,undefined FUN_00402c50(void),false,,,,
0x00402D00,117,0x00402D74,FUN_00402d00,,,unclassified,0.00,unknown,undefined FUN_00402d00(void),false,,,,
0x00402D80,30,0x00402D9D,FUN_00402d80,,,unclassified,0.00,unknown,undefined FUN_00402d80(void),false,,,,
0x00402DA0,89,0x00402DF8,FUN_00402da0,,,unclassified,0.00,unknown,undefined FUN_00402da0(void),false,,,,
0x00402E00,217,0x00402EDB,FUN_00402e00,,,unclassified,0.00,unknown,undefined FUN_00402e00(void),false,,,,
0x00402EE0,156,0x00402F7E,FUN_00402ee0,,,unclassified,0.00,unknown,undefined FUN_00402ee0(void),false,,,,
0x00402F80,358,0x004030E5,FUN_00402f80,,,unclassified,0.00,unknown,undefined FUN_00402f80(void),false,,,,
