owner_group,address,ledger_size,decompiler_lines,case_occurrences,unique_case_count,case_labels,direct_callees,vtable_owners,evidence
Reimu,0x0048CBA0,15999,2390,56,51,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;100;200;201;202;204;205;206;209;210;212;214;300;301;302;303;304;305;306;307;308;320;321;400;401;402;404;405;406;410;411;414;416","0x0045B9E0;0x0067B8E0;0x00406710;0x004069A0;0x00406880",Reimu,IDA Pro MCP complete decompile case and direct-callee inventory 2026-08-11
Marisa,0x004B38A0,16229,2362,71,51,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;100;101;102;200;202;205;206;207;208;211;300;301;302;303;304;305;306;307;308;320;321;322;400;401;402;404;405;406;410;411;414;416","0x0045B9E0;0x0067B8E0;0x00406710;0x004069A0;0x00406880",Marisa,IDA Pro MCP complete decompile case and direct-callee inventory 2026-08-11
Alice,0x004F4650,16354,2668,85,49,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;100;200;201;202;203;204;205;206;300;301;302;303;304;305;306;307;308;320;321;400;401;402;404;405;406;410;411;414;415;416","0x0045B9E0;0x0067B8E0;0x00406710;0x004069A0;0x00406880",Alice,IDA Pro MCP complete decompile case and direct-callee inventory 2026-08-11
Default (11 fighters),0x005CFE00,15910,2330,64,48,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;100;200;201;202;205;212;300;301;302;303;304;305;306;307;308;320;321;322;400;401;402;404;405;406;410;412;414;415;416","0x0045B9E0;0x0067B8E0;0x00406710;0x004069A0;0x00406880","Sakuya;Patchouli;Youmu;Remilia;Yuyuko;Yukari;Suika;Udonge;Komachi;Iku;Tenshi",IDA Pro MCP complete decompile case and direct-callee inventory 2026-08-11
Aya,0x00611D80,16032,2340,64,48,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;100;200;201;202;205;212;300;301;302;303;304;305;306;307;308;320;321;322;400;401;402;404;405;406;410;412;414;415;416","0x0045B9E0;0x0067B8E0;0x00406710;0x004069A0;0x00406880",Aya,IDA Pro MCP complete decompile case and direct-callee inventory 2026-08-11
