address,origin,subsystem,disposition,confidence,evidence_id
0x00406840,authored_game,engine,include_authored,inferred,ledger-authored-module
0x00406880,authored_game,engine,include_authored,inferred,ledger-authored-module
0x004069A0,authored_game,battle,include_authored,inferred,ledger-authored-module
0x004069C0,unknown,,review,unknown,
0x00406A60,unknown,,review,unknown,
0x00406B00,unknown,,review,unknown,
0x00406C30,authored_game,battle,include_authored,inferred,ledger-authored-module
0x00406C60,unknown,,review,unknown,
0x00406DB0,unknown,,review,unknown,
0x00407020,unknown,,review,unknown,
0x004070C0,unknown,,review,unknown,
0x004070F0,unknown,,review,unknown,
0x00407250,unknown,,review,unknown,
0x004072B0,unknown,,review,unknown,
0x004072D0,unknown,,review,unknown,
0x004072F0,unknown,,review,unknown,
0x004073B0,unknown,,review,unknown,
0x004073F0,unknown,,review,unknown,
0x00407450,unknown,,review,unknown,
0x00407490,unknown,,review,unknown,
0x004074F0,unknown,,review,unknown,
0x00407530,unknown,,review,unknown,
0x00407590,unknown,,review,unknown,
0x004079E0,unknown,,review,unknown,
0x00407AC0,unknown,,review,unknown,
0x00407B00,unknown,,review,unknown,
0x00407B20,unknown,,review,unknown,
0x00407B50,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00407B70,unknown,,review,unknown,
0x00407BA0,unknown,,review,unknown,
0x00407CA0,unknown,,review,unknown,
0x00407E80,unknown,,review,unknown,
0x00407F80,authored_game,engine,include_authored,inferred,ledger-authored-module
0x00408020,unknown,,review,unknown,
0x004080E0,authored_game,engine,include_authored,inferred,ledger-authored-module
0x00408393,unknown,,review,unknown,
0x004083F0,unknown,,review,unknown,
0x00408549,unknown,,review,unknown,
0x00408590,unknown,,review,unknown,
0x00408680,unknown,,review,unknown,
0x00408770,unknown,,review,unknown,
0x00408890,unknown,,review,unknown,
0x004088C0,unknown,,review,unknown,
0x00408900,unknown,,review,unknown,
0x00408950,unknown,,review,unknown,
0x00408A40,vc8_runtime,runtime,exclude_authored,observed,ledger-library
0x00408B40,authored_game,ui,include_authored,inferred,ledger-authored-module
0x00408C00,unknown,,review,unknown,
0x00408CB0,unknown,,review,unknown,
0x00408D40,unknown,,review,unknown,
0x00408DD0,unknown,,review,unknown,
0x00408E70,unknown,,review,unknown,
0x00408F10,unknown,,review,unknown,
0x00408FC0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00409300,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00409410,authored_game,ui,include_authored,inferred,ledger-authored-module
0x00409440,unknown,,review,unknown,
0x00409550,authored_game,ui,include_authored,inferred,ledger-authored-module
0x00409850,unknown,,review,unknown,
0x00409890,unknown,,review,unknown,
0x004098B0,unknown,,review,unknown,
0x004098C0,unknown,,review,unknown,
0x00409900,authored_game,input,include_authored,inferred,ledger-authored-module
0x00409AA0,authored_game,input,include_authored,inferred,ledger-authored-module
0x00409AD0,authored_game,input,include_authored,inferred,ledger-authored-module
0x00409C50,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A040,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A050,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A070,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A0B0,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A1C0,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A210,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A220,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A2F0,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A350,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A3D0,unknown,,review,unknown,
0x0040A400,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040A480,unknown,,review,unknown,
0x0040A650,unknown,,review,unknown,
0x0040A6A0,unknown,,review,unknown,
0x0040A6C0,unknown,,review,unknown,
0x0040A6F0,unknown,,review,unknown,
0x0040A710,authored_game,engine,include_authored,inferred,ledger-authored-module
0x0040A720,authored_game,engine,include_authored,inferred,ledger-authored-module
0x0040A730,unknown,,review,unknown,
0x0040A740,unknown,,review,unknown,
0x0040A760,unknown,,review,unknown,
0x0040A780,unknown,,review,unknown,
0x0040A840,unknown,,review,unknown,
0x0040A860,unknown,,review,unknown,
0x0040A8B0,unknown,,review,unknown,
0x0040A8E0,unknown,,review,unknown,
0x0040A8F0,unknown,,review,unknown,
0x0040A900,unknown,,review,unknown,
0x0040A910,unknown,,review,unknown,
0x0040A950,unknown,,review,unknown,
0x0040A960,unknown,,review,unknown,
0x0040A970,unknown,,review,unknown,
0x0040A980,unknown,,review,unknown,
0x0040A990,unknown,,review,unknown,
0x0040A9B0,unknown,,review,unknown,
0x0040A9C0,unknown,,review,unknown,
0x0040AA00,unknown,,review,unknown,
0x0040AA50,unknown,,review,unknown,
0x0040AA90,unknown,,review,unknown,
0x0040AAD0,unknown,,review,unknown,
0x0040AAE0,unknown,,review,unknown,
0x0040AAF0,unknown,,review,unknown,
0x0040B580,unknown,,review,unknown,
0x0040B5B0,unknown,,review,unknown,
0x0040B5F0,unknown,,review,unknown,
0x0040B630,unknown,,review,unknown,
0x0040B770,unknown,,review,unknown,
0x0040B800,unknown,,review,unknown,
0x0040B910,unknown,,review,unknown,
0x0040B9B0,unknown,,review,unknown,
0x0040BAD0,unknown,,review,unknown,
0x0040BB30,unknown,,review,unknown,
0x0040BB90,unknown,,review,unknown,
0x0040BBF0,unknown,,review,unknown,
0x0040BC50,unknown,,review,unknown,
0x0040BD30,unknown,,review,unknown,
0x0040BD60,unknown,,review,unknown,
0x0040BDD0,unknown,,review,unknown,
0x0040BE40,unknown,,review,unknown,
0x0040C080,unknown,,review,unknown,
0x0040C123,unknown,,review,unknown,
0x0040C140,unknown,,review,unknown,
0x0040C1C0,unknown,,review,unknown,
0x0040C210,unknown,,review,unknown,
0x0040C270,unknown,,review,unknown,
0x0040C2B0,unknown,,review,unknown,
0x0040C300,unknown,,review,unknown,
0x0040C340,unknown,,review,unknown,
0x0040C4D8,unknown,,review,unknown,
0x0040C5C0,unknown,,review,unknown,
0x0040C640,unknown,,review,unknown,
0x0040C680,unknown,,review,unknown,
0x0040C6A0,authored_game,ui,include_authored,inferred,ledger-authored-module
0x0040C720,unknown,,review,unknown,
0x0040C750,unknown,,review,unknown,
0x0040C790,unknown,,review,unknown,
0x0040C7F0,authored_game,ui,include_authored,inferred,ledger-authored-module
0x0040C860,unknown,,review,unknown,
0x0040C8A0,unknown,,review,unknown,
0x0040C8D0,unknown,,review,unknown,
0x0040C900,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040C920,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040C950,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040C960,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040C970,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040C9A0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040C9B0,unknown,,review,unknown,
0x0040C9C0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040CAA0,unknown,,review,unknown,
0x0040CB30,unknown,,review,unknown,
0x0040CBE0,unknown,,review,unknown,
0x0040CC50,unknown,,review,unknown,
0x0040CC80,unknown,,review,unknown,
0x0040CD20,unknown,,review,unknown,
0x0040CDE0,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040CE30,unknown,,review,unknown,
0x0040CF80,unknown,,review,unknown,
0x0040CFA0,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040D060,unknown,,review,unknown,
0x0040D110,unknown,,review,unknown,
0x0040D250,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040D370,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040D380,unknown,,review,unknown,
0x0040D3D0,authored_game,input,include_authored,inferred,ledger-authored-module
0x0040D430,unknown,,review,unknown,
0x0040D4E6,unknown,,review,unknown,
0x0040D580,unknown,,review,unknown,
0x0040D630,unknown,,review,unknown,
0x0040D660,unknown,,review,unknown,
0x0040D6B0,unknown,,review,unknown,
0x0040D6F0,unknown,,review,unknown,
0x0040D730,unknown,,review,unknown,
0x0040D760,unknown,runtime,review,unknown,
0x0040D7D0,unknown,,review,unknown,
0x0040D830,unknown,,review,unknown,
0x0040D8A0,unknown,,review,unknown,
0x0040D8D0,unknown,,review,unknown,
0x0040D8F0,unknown,,review,unknown,
0x0040D980,unknown,,review,unknown,
0x0040DA10,unknown,,review,unknown,
0x0040DA70,unknown,,review,unknown,
0x0040DAD0,unknown,,review,unknown,
0x0040DCB0,unknown,,review,unknown,
0x0040DE73,unknown,,review,unknown,
0x0040DF80,unknown,,review,unknown,
0x0040DFD0,unknown,,review,unknown,
0x0040E000,unknown,,review,unknown,
0x0040E030,unknown,,review,unknown,
0x0040E060,unknown,,review,unknown,
0x0040E090,unknown,,review,unknown,
0x0040E0C0,unknown,,review,unknown,
0x0040E110,unknown,,review,unknown,
0x0040E140,unknown,,review,unknown,
0x0040E1C0,authored_game,ui,include_authored,inferred,ledger-authored-module
0x0040E210,unknown,,review,unknown,
0x0040E280,unknown,,review,unknown,
0x0040E400,unknown,,review,unknown,
0x0040E530,unknown,,review,unknown,
0x0040E540,unknown,,review,unknown,
0x0040E560,authored_game,ui,include_authored,inferred,ledger-authored-module
0x0040E590,unknown,,review,unknown,
0x0040E630,unknown,,review,unknown,
0x0040E760,unknown,,review,unknown,
0x0040E790,unknown,,review,unknown,
0x0040E7B0,unknown,,review,unknown,
0x0040EA80,unknown,,review,unknown,
0x0040EAD0,unknown,,review,unknown,
0x0040EAF0,unknown,,review,unknown,
0x0040EB20,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040EBD0,unknown,,review,unknown,
